image_name,image_path,intensity_knots
25.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\25.jpg,25.0
27.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\27.jpg,27.0
28.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\28.jpg,28.0
30.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\30.jpg,30.0
30(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\30(1).jpg,30.0
31.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\31.jpg,31.0
32.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\32.jpg,32.0
32(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\32(1).jpg,32.0
33.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\33.jpg,33.0
33(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\33(1).jpg,33.0
33(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\33(2).jpg,33.0
34.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\34.jpg,34.0
34(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\34(1).jpg,34.0
35.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\35.jpg,35.0
35(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\35(1).jpg,35.0
35(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\35(2).jpg,35.0
35(3).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\35(3).jpg,35.0
36.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\36.jpg,36.0
36(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\36(1).jpg,36.0
36(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\36(2).jpg,36.0
36(3).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\36(3).jpg,36.0
37.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\37.jpg,37.0
38.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\38.jpg,38.0
39.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\39.jpg,39.0
40.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\40.jpg,40.0
40(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\40(1).jpg,40.0
40(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\40(2).jpg,40.0
40(3).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\40(3).jpg,40.0
41.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\41.jpg,41.0
42.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\42.jpg,42.0
42(3).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\42(3).jpg,42.0
43.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\43.jpg,43.0
43(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\43(2).jpg,43.0
44.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\44.jpg,44.0
44(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\44(1).jpg,44.0
44(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\44(2).jpg,44.0
44(3).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\44(3).jpg,44.0
45.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\45.jpg,45.0
45(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\45(1).jpg,45.0
45(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\45(2).jpg,45.0
45(3).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\45(3).jpg,45.0
45(4).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\45(4).jpg,45.0
46.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\46.jpg,46.0
46(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\46(1).jpg,46.0
46(3).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\46(3).jpg,46.0
47.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\47.jpg,47.0
47(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\47(1).jpg,47.0
47(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\47(2).jpg,47.0
47(3).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\47(3).jpg,47.0
47(4).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\47(4).jpg,47.0
48.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\48.jpg,48.0
48(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\48(1).jpg,48.0
48(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\48(2).jpg,48.0
48(3).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\48(3).jpg,48.0
49.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\49.jpg,49.0
49(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\49(1).jpg,49.0
49(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\49(2).jpg,49.0
50.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\50.jpg,50.0
50(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\50(1).jpg,50.0
50(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\50(2).jpg,50.0
51.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\51.jpg,51.0
51(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\51(1).jpg,51.0
52.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\52.jpg,52.0
52(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\52(1).jpg,52.0
53.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\53.jpg,53.0
53(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\53(1).jpg,53.0
53(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\53(2).jpg,53.0
53(3).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\53(3).jpg,53.0
54.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\54.jpg,54.0
55.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\55.jpg,55.0
55(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\55(2).jpg,55.0
56.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\56.jpg,56.0
57.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\57.jpg,57.0
57(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\57(1).jpg,57.0
57(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\57(2).jpg,57.0
58.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\58.jpg,58.0
58(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\58(1).jpg,58.0
59.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\59.jpg,59.0
59(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\59(1).jpg,59.0
59(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\59(2).jpg,59.0
59(3).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\59(3).jpg,59.0
60.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\60.jpg,60.0
60(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\60(1).jpg,60.0
60(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\60(2).jpg,60.0
61.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\61.jpg,61.0
61(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\61(1).jpg,61.0
61(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\61(2).jpg,61.0
62.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\62.jpg,62.0
63.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\63.jpg,63.0
63(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\63(1).jpg,63.0
63(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\63(2).jpg,63.0
64.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\64.jpg,64.0
64(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\64(1).jpg,64.0
64(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\64(2).jpg,64.0
65.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\65.jpg,65.0
65(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\65(2).jpg,65.0
65(3).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\65(3).jpg,65.0
67.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\67.jpg,67.0
67(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\67(1).jpg,67.0
68.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\68.jpg,68.0
69.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\69.jpg,69.0
69(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\69(1).jpg,69.0
70.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\70.jpg,70.0
73.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\73.jpg,73.0
74.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\74.jpg,74.0
74(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\74(1).jpg,74.0
74(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\74(2).jpg,74.0
75.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\75.jpg,75.0
77.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\77.jpg,77.0
77(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\77(1).jpg,77.0
81.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\81.jpg,81.0
81(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\81(1).jpg,81.0
82.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\82.jpg,82.0
82(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\82(1).jpg,82.0
83(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\83(1).jpg,83.0
84.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\84.jpg,84.0
84(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\84(1).jpg,84.0
85.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\85.jpg,85.0
85(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\85(1).jpg,85.0
85(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\85(2).jpg,85.0
86.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\86.jpg,86.0
86(1).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\86(1).jpg,86.0
86(2).jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\86(2).jpg,86.0
87.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\87.jpg,87.0
94.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\94.jpg,94.0
98.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\98.jpg,98.0
99.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\99.jpg,99.0
101.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\101.jpg,101.0
102.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\102.jpg,102.0
106.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\106.jpg,106.0
111.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\111.jpg,111.0
112.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\112.jpg,112.0
115.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\115.jpg,115.0
118.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\118.jpg,118.0
119.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\119.jpg,119.0
128.jpg,data\satellite\insat3d\insat3d_ir_cyclone_ds\128.jpg,128.0
