image_id,cyclone,SID,SEASON,NUMBER,BASIN,NAME,ISO_TIME,LAT,LON,USA_WIND,USA_PRES,image_path
000001,1,1981283N07132,1981,88,WP,FABIAN,1981-10-10 00:00:00,7.3,132.4,15.0,,
000002,1,1981283N07132,1981,88,WP,FABIAN,1981-10-10 03:00:00,7.6,132.0,15.0,,
000003,1,1981283N07132,1981,88,WP,FABIAN,1981-10-10 06:00:00,8.0,131.6,15.0,,
000004,1,1981283N07132,1981,88,WP,FABIAN,1981-10-10 09:00:00,8.3,131.2,15.0,,
000005,1,1981283N07132,1981,88,WP,FABIAN,1981-10-10 12:00:00,8.6,130.8,15.0,,
000006,1,1981283N07132,1981,88,WP,FABIAN,1981-10-10 15:00:00,8.9,130.4,15.0,,
000007,1,1981283N07132,1981,88,WP,FABIAN,1981-10-10 18:00:00,9.1,129.9,15.0,,
000008,1,1981283N07132,1981,88,WP,FABIAN,1981-10-10 21:00:00,9.2,129.5,15.0,,
000009,1,1981283N07132,1981,88,WP,FABIAN,1981-10-11 00:00:00,9.2,129.1,15.0,,
000010,1,1981283N07132,1981,88,WP,FABIAN,1981-10-11 03:00:00,9.4,128.6,18.0,,
000011,1,1981283N07132,1981,88,WP,FABIAN,1981-10-11 06:00:00,9.7,128.0,20.0,,
000012,1,1981283N07132,1981,88,WP,FABIAN,1981-10-11 09:00:00,9.9,127.4,20.0,,
000013,1,1981283N07132,1981,88,WP,FABIAN,1981-10-11 12:00:00,10.2,126.8,20.0,,
000014,1,1981283N07132,1981,88,WP,FABIAN,1981-10-11 15:00:00,10.4,126.1,20.0,,
000015,1,1981283N07132,1981,88,WP,FABIAN,1981-10-11 18:00:00,10.6,125.4,20.0,,
000016,1,1981283N07132,1981,88,WP,FABIAN,1981-10-11 21:00:00,10.8,124.7,20.0,,
000017,1,1981283N07132,1981,88,WP,FABIAN,1981-10-12 00:00:00,11.0,124.0,20.0,,
000018,1,1981283N07132,1981,88,WP,FABIAN,1981-10-12 03:00:00,11.1,123.3,20.0,,
000019,1,1981283N07132,1981,88,WP,FABIAN,1981-10-12 06:00:00,11.2,122.7,20.0,,
000020,1,1981283N07132,1981,88,WP,FABIAN,1981-10-12 09:00:00,11.2,122.0,23.0,,
000021,1,1981283N07132,1981,88,WP,FABIAN,1981-10-12 12:00:00,11.3,121.2,25.0,,
000022,1,1981283N07132,1981,88,WP,FABIAN,1981-10-12 15:00:00,11.4,120.4,25.0,,
000023,1,1981283N07132,1981,88,WP,FABIAN,1981-10-12 18:00:00,11.5,119.5,25.0,,
000024,1,1981283N07132,1981,88,WP,FABIAN,1981-10-12 21:00:00,11.6,118.7,28.0,,
000025,1,1981283N07132,1981,88,WP,FABIAN,1981-10-13 00:00:00,11.6,117.8,30.0,,
000026,1,1981283N07132,1981,88,WP,FABIAN,1981-10-13 03:00:00,11.6,116.7,30.0,,
000027,1,1981283N07132,1981,88,WP,FABIAN,1981-10-13 06:00:00,11.6,115.6,30.0,,
000028,1,1981283N07132,1981,88,WP,FABIAN,1981-10-13 09:00:00,11.6,114.7,33.0,,
000029,1,1981283N07132,1981,88,WP,FABIAN,1981-10-13 12:00:00,11.6,113.9,35.0,,
